"Execution Times for getProducts"
0.002763032913208,0.00033903121948242,0.00028896331787109
Min,Max,Mean,Median
0.00028896331787109,0.002763032913208,0.0011303424835205,0.00028896331787109
"Execution Times for addToCart"
8.1062316894531E-6,4.0531158447266E-6,5.0067901611328E-6
Min,Max,Mean,Median
4.0531158447266E-6,8.1062316894531E-6,5.7220458984375E-6,4.0531158447266E-6
"Execution Times for getCart"
4.0531158447266E-6,2.8610229492188E-6,3.0994415283203E-6
Min,Max,Mean,Median
2.8610229492188E-6,4.0531158447266E-6,3.3378601074219E-6,2.8610229492188E-6
